1, 38
2, 77
3, 51
4, 42
5, 46
6, 50
7, 44
8, 43
9, 41
10, 47
11, 43
12, 42
13, 43
14, 44
15, 44
16, 45
17, 42
18, 45
19, 45
20, 95
21, 45
22, 44
23, 47
24, 47
25, 49
26, 48
27, 99
28, 51
29, 52
30, 51
31, 103
32, 107
33, 58
34, 59
35, 59
36, 111
37, 64
38, 114
39, 64
40, 65
41, 67
42, 66
43, 68
44, 70
45, 156
46, 72
47, 71
48, 73
49, 75
50, 142
51, 76
52, 77
53, 82
54, 76
55, 130
56, 132
57, 81
58, 80
59, 82
60, 84
61, 86
62, 84
63, 86
64, 88
65, 90
66, 89
67, 94
68, 91
69, 94
70, 140
71, 95
72, 97
73, 99
74, 98
75, 101
76, 101
77, 116
78, 102
79, 104
80, 106
81, 158
82, 109
83, 162
84, 109
85, 113
86, 114
87, 112
88, 115
89, 166
90, 121
91, 172
92, 118
93, 173
94, 218
95, 172
96, 124
97, 230
98, 235
99, 179
100, 181
101, 186
102, 129
103, 184
104, 135
105, 306
106, 136
107, 137
108, 192
109, 149
110, 202
111, 221
112, 208
113, 210
114, 206
115, 160
116, 212
117, 235
118, 258
119, 164
120, 260
121, 267
122, 218
123, 266
124, 323
125, 222
126, 324
127, 170
128, 201
129, 221
130, 222
131, 226
132, 283
133, 233
134, 274
135, 286
136, 286
137, 238
138, 182
139, 186
140, 184
141, 245
142, 239
143, 264
144, 402
145, 351
146, 235
147, 358
148, 396
149, 449
150, 297
151, 201
152, 398
153, 408
154, 291
155, 454
156, 308
157, 314
158, 261
159, 300
160, 414
161, 369
162, 416
163, 375
164, 323
165, 276
166, 365
167, 321
168, 311
169, 372
170, 445
171, 319
172, 361
173, 232
174, 317
175, 230
176, 273
177, 247
178, 279
179, 472
180, 230
181, 382
182, 235
183, 295
184, 286
185, 345
186, 333
187, 474
188, 475
189, 307
190, 249
191, 257
192, 351
193, 321
194, 313
195, 401
196, 279
197, 343
198, 268
199, 330
200, 414
201, 322
202, 319
203, 367
204, 316
205, 332
206, 324
207, 386
208, 476
209, 307
210, 434
211, 392
212, 394
213, 447
214, 396
215, 444
216, 299
217, 543
218, 389
219, 348
220, 351
221, 369
222, 315
223, 326
224, 495
225, 335
226, 337
227, 370
228, 333
229, 338
230, 418
231, 388
232, 335
233, 395
234, 408
235, 461
236, 458
237, 389
238, 354
239, 356
240, 353
241, 357
242, 342
243, 347
244, 348
245, 349
246, 348
247, 346
248, 350
249, 416
250, 350
251, 339
252, 345
253, 348
254, 359
255, 370
256, 369
257, 385
258, 373
259, 371
260, 431
261, 373
262, 417
263, 412
264, 375
265, 417
266, 438
267, 415
268, 379
269, 372
270, 379
271, 377
272, 439
273, 392
274, 393
275, 391
276, 395
